,Şəhər,Sürətlər qutusu,Marka,Ötürücü,Model,Yeni,Buraxılış ili,Yürüş,Yerlərin sayı,Ban növü,Sahiblər,Rəng,Hansı bazar üçün yığılıb,Avtosalon,price,Motor,At gücü,Yanacaq,Yüngül lehimli disklər,Mərkəzi qapanma,Dəri salon,Oturacaqların ventilyasiyası,ABS,Park radarı,Ksenon lampalar,Lyuk,Kondisioner,Arxa görüntü kamerası,Yağış sensoru,Oturacaqların isidilməsi,Yan pərdələr
29,Kürdəmir,Mexaniki,LADA (VAZ),Arxa,2106,Xeyr,1991,99999,5,Sedan,0,Qara,Rusiya,No,3800.0,1.6,75.0,Benzin,False,True,False,False,False,False,True,False,False,False,False,False,True
30,Bakı,Avtomat,Kia,Arxa,Stinger,Xeyr,2018,71000,5,Liftbek,2,Mavi,Digər,No,34200.0,2.0,247.0,Benzin,True,False,False,False,True,False,False,True,False,False,False,False,False
31,Bakı,Avtomat,Porsche,Tam,Cayenne,Xeyr,2013,160000,5,Offroader ,1,Ağ,Avropa,No,43010.0,3.6,300.0,Benzin,True,True,True,False,True,True,True,True,True,True,True,True,True
32,Bakı,Avtomat,Infiniti,Tam,QX70,Xeyr,2016,95000,5,Offroader ,1,Ağ,Rəsmi diler,No,45050.0,3.7,333.0,Benzin,True,True,True,True,True,True,True,True,True,True,True,True,True
33,Bakı,Avtomat,Mercedes,Arxa,C 220,Xeyr,1995,325550,5,Sedan,2,Ağ,Digər,No,9100.0,2.2,150.0,Benzin,True,True,True,False,True,True,False,True,True,False,False,False,False
34,Bakı,Avtomat,Toyota,Tam,Land Cruiser Prado,Xeyr,2022,93000,7,Offroader ,1,Qara,Avropa,No,99790.0,2.8,200.0,Dizel,False,False,False,False,False,False,False,False,False,False,False,False,False
35,Sumqayıt,Avtomat,Hyundai,Ön,Sonata,Xeyr,2009,287600,5,Sedan,2,Qara,Digər,Yes,16800.0,2.4,174.0,Benzin,True,True,True,False,True,True,True,True,True,False,True,True,True
36,Bakı,Avtomat,Chevrolet,Ön,Cruze,Xeyr,2014,251000,5,Sedan,2,Ağ,Digər,No,13900.0,1.4,141.0,Benzin,True,True,True,False,True,True,True,False,True,True,True,True,False
37,Bakı,Avtomat,BYD,Ön,Destroyer 05,Bəli,2023,0,5,Sedan,0,Boz,Digər,Yes,38250.0,1.5,197.0,Plug-in Hibrid,False,False,False,False,False,False,False,False,False,False,False,False,False
38,Bakı,Variator,Changan,Ön,Qiyuan A05,Bəli,2024,0,5,Sedan,0,Ağ,Digər,Yes,28730.0,1.5,190.0,Plug-in Hibrid,True,True,True,True,True,True,True,True,True,True,True,True,False
39,Bakı,Avtomat,Lexus,Tam,LX 500d,Xeyr,2022,36500,5,Offroader ,2,Qara,Rəsmi diler,Yes,213418.0,3.3,300.0,Dizel,True,True,True,True,True,True,True,True,True,True,True,True,True
40,Bakı,Avtomat,Audi,Tam,Q7,Xeyr,2019,87000,5,Offroader ,1,Ağ,Rəsmi diler,Yes,59330.0,2.0,252.0,Benzin,True,True,True,True,True,True,True,True,True,True,True,True,True
41,Bakı,Avtomat,Audi,Ön,A6,Xeyr,2020,54000,5,Sedan,2,Ağ,Rəsmi diler,No,67150.0,2.0,252.0,Benzin,True,True,True,False,True,True,True,True,True,True,True,True,True
42,Bakı,Avtomat,BMW,Arxa,328,Xeyr,2013,136234,5,Sedan,1,Qəhvəyi,Amerika,No,28000.0,2.0,245.0,Benzin,True,True,True,True,True,True,True,True,True,True,True,True,True
43,Bakı,Avtomat,Hyundai,Ön,Sonata,Xeyr,2013,95000,5,Sedan,2,Ağ,Koreya,No,25500.0,2.0,174.0,Hibrid,True,True,True,True,True,True,True,True,True,True,True,True,False
44,Bakı,Avtomat,Land Rover,Tam,Range Rover,Xeyr,2012,120000,4,Offroader ,1,Qara,Avropa,No,51850.0,5.0,510.0,Benzin,True,True,True,False,True,True,True,True,True,True,True,True,True
45,Bakı,Avtomat,BMW,Tam,X5,Xeyr,2011,233748,5,Offroader ,2,Ağ,Digər,No,31110.0,3.0,306.0,Benzin,True,True,True,True,True,True,True,True,True,True,True,True,True
46,Bakı,Avtomat,BMW,Arxa,525,Xeyr,2002,350000,4,Sedan,2,Ağ,Dubay,No,11900.0,2.5,192.0,Benzin,True,True,True,True,True,True,True,False,True,True,True,False,True
47,Bakı,Avtomat,Land Rover,Tam,Range Rover,Xeyr,2017,78000,5,Offroader ,0,Qara,Avropa,No,139400.0,5.0,510.0,Benzin,True,True,True,True,True,True,True,True,True,True,True,True,True
48,Laçın,Avtomat,Nissan,Ön,Sunny,Xeyr,2013,135000,5,Sedan,2,Ağ,Yaponiya,No,14300.0,1.2,90.0,Benzin,True,True,True,True,True,True,True,False,True,False,True,False,True
73,Bakı,Mexaniki,ZX Auto,Tam,Terralord,Bəli,2022,0,5,"Pikap, ikiqat kabin",0,Qara,Avropa,Yes,45900.0,2.5,146.0,Dizel,True,True,False,False,True,False,False,False,True,False,False,False,False
74,Bakı,Avtomat,Mercedes,Arxa,S 500 4MATIC,Bəli,2023,0,5,Sedan,0,Qara,Digər,Yes,371568.0,3.0,435.0,Benzin,True,True,True,True,True,True,True,True,True,True,True,True,True
75,Bakı,Avtomat,Volkswagen,Ön,Passat,Xeyr,2021,38000,5,Sedan,1,Ağ,Digər,Yes,43350.0,2.0,185.0,Benzin,True,True,True,True,True,True,True,True,True,True,True,True,True
76,Bakı,Avtomat,Chery,Ön,Arrizo 5,Bəli,2024,0,5,Sedan,0,Boz,Rəsmi diler,Yes,27900.0,1.5,116.0,Benzin,True,True,True,False,True,True,True,False,True,True,False,False,False
77,Bakı,Avtomat,Nissan,Ön,March,Xeyr,2002,141000,5,"Hetçbek, ",3,Mavi,Yaponiya,No,8700.0,1.2,90.0,Benzin,True,True,False,False,True,False,False,False,True,True,False,False,False
